iter	RMSE
0	7.11747185
1	6.400827605
2	5.756271665
3	5.184260754
4	4.756110712
5	4.339263863
6	4.031111972
7	3.779631306
8	3.542136318
9	3.325413622
10	3.156414304
11	2.996638923
12	2.881409055
13	2.792523123
14	2.689862977
15	2.603228282
16	2.531073453
17	2.481539721
18	2.419250746
19	2.365942701
20	2.318728824
21	2.284279649
22	2.216506266
23	2.166282281
24	2.15257742
25	2.123542207
26	2.101288651
27	2.071612249
28	2.054413844
29	2.019662721
30	1.996941038
31	1.961827109
32	1.943635304
33	1.920716185
34	1.902613828
35	1.874061785
36	1.850847108
37	1.833608048
38	1.803821428
39	1.770934504
40	1.756232504
41	1.732827485
42	1.718472933
43	1.689441685
44	1.672658985
45	1.66030842
46	1.654874514
47	1.631937412
48	1.615916176
49	1.590663071
50	1.555158557
51	1.544817397
52	1.529387586
53	1.524693475
54	1.50083739
55	1.470455966
56	1.451514436
57	1.425779572
58	1.397104817
59	1.38730336
60	1.365509533
61	1.349831136
62	1.331325592
63	1.318571122
64	1.307616349
65	1.301370726
66	1.293414473
67	1.261217712
68	1.250385149
69	1.236691148
70	1.225536273
71	1.209071821
72	1.193836042
73	1.190820101
74	1.181325819
75	1.161081311
76	1.149572347
77	1.13182732
78	1.124664426
79	1.118565721
80	1.101148533
81	1.095239794
82	1.086075839
83	1.080828774
84	1.073534696
85	1.065626781
86	1.050168857
87	1.041788917
88	1.026835136
89	1.021687932
90	1.012523356
91	1.001406557
92	0.9924524077
93	0.9903756703
94	0.9841712424
95	0.9793116343
96	0.9673175892
97	0.9559741476
98	0.9484665104
99	0.9398681698
100	0.9382185034
101	0.9244180515
102	0.9202366229
103	0.9114886061
104	0.9030696051
105	0.8962493197
106	0.887936772
107	0.8757486115
108	0.8728410036
109	0.8694572996
110	0.8608227668
111	0.8572611717
112	0.8460406613
113	0.8375229612
114	0.8291295925
115	0.8269477995
116	0.8203674472
117	0.8143446078
118	0.8015942823
119	0.7970311863
120	0.7890598279
121	0.7857594181
122	0.7804054037
123	0.7750391523
124	0.7680228895
125	0.7585952028
126	0.7502862483
127	0.7474058887
128	0.7458561312
129	0.7389400764
130	0.7377892773
131	0.7311109359
132	0.7296507138
133	0.7250517044
134	0.7171354228
135	0.7094917431
136	0.7061080009
137	0.6981458148
138	0.6919615525
139	0.6885751402
140	0.6832593684
141	0.6815893586
142	0.6797421334
143	0.6782531309
144	0.6720824588
145	0.6682812239
146	0.666222122
147	0.6586946531
148	0.6517945134
149	0.648278871
