iter	Passed	Remaining
0	149	22318
1	151	11191
2	152	7455
3	153	5593
4	154	4472
5	155	3722
6	156	3187
7	156	2783
8	157	2470
9	158	2219
10	159	2014
11	160	1843
12	160	1696
13	162	1574
14	163	1467
15	164	1374
16	165	1290
17	165	1214
18	166	1147
19	167	1087
20	168	1036
21	169	986
22	170	941
23	171	899
24	171	858
25	172	823
26	173	791
27	174	761
28	175	732
29	176	706
30	177	681
31	178	657
32	179	635
33	180	614
34	180	594
35	181	576
36	182	558
37	183	541
38	184	525
39	185	510
40	186	495
41	187	481
42	188	468
43	189	455
44	189	442
45	190	431
46	191	420
47	192	409
48	193	398
49	194	388
50	195	378
51	196	369
52	197	360
53	198	352
54	198	343
55	199	335
56	200	327
57	201	320
58	202	312
59	203	305
60	204	298
61	205	291
62	206	284
63	207	278
64	208	272
65	209	266
66	209	260
67	210	254
68	211	248
69	212	243
70	213	238
71	215	233
72	216	228
73	217	223
74	218	218
75	219	213
76	221	209
77	222	205
78	223	200
79	224	196
80	225	191
81	226	187
82	227	183
83	228	179
84	229	175
85	230	171
86	231	167
87	232	163
88	233	159
89	234	156
90	235	152
91	236	148
92	236	145
93	237	141
94	238	138
95	239	134
96	240	131
97	241	128
98	242	124
99	243	121
100	244	118
101	245	115
102	246	112
103	247	109
104	248	106
105	249	103
106	250	100
107	251	97
108	252	94
109	253	92
110	253	89
111	254	86
112	255	83
113	256	81
114	257	78
115	258	75
116	259	73
117	260	70
118	261	68
119	262	65
120	263	63
121	264	60
122	265	58
123	266	55
124	267	53
125	267	51
126	268	48
127	269	46
128	270	44
129	271	41
130	272	39
131	273	37
132	274	35
133	275	32
134	276	30
135	277	28
136	278	26
137	278	24
138	279	22
139	280	20
140	281	17
141	282	15
142	283	13
143	284	11
144	285	9
145	285	7
146	286	5
147	287	3
148	288	1
149	289	0
